,0
ORIG_1ffa92b1-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa92b2-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+63
ORIG_1ffa92b3-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+63
ORIG_1ffa92b4-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa92b5-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa92b6-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa92b7-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+63
ORIG_1ffa92ce-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa92cf-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa92d0-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa92d1-8d87-11e8-9daf-6045cb817f5b..JPG,1.01E+62
ORIG_1ffa92d2-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa92d3-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa92d4-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa92d5-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa94d6-8d87-11e8-9daf-6045cb817f5b..JPG,1.01E+62
ORIG_1ffa94d7-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa94d8-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa94d9-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+63
ORIG_1ffa94da-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa94db-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa94dc-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+63
ORIG_1ffa94dd-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa94de-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa94df-8d87-11e8-9daf-6045cb817f5b..JPG,1.01E+62
ORIG_1ffa94e0-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+61
ORIG_1ffa94e1-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa94e2-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa94e3-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
ORIG_1ffa966f-8d87-11e8-9daf-6045cb817f5b..JPG,1.01E+62
ORIG_1ffa9670-8d87-11e8-9daf-6045cb817f5b..JPG,1.11E+62
